facepos,gender,age,marstat,edu,numhh,lnincome
1,1,30,1,16,3,4.633468456
1,1,50,1,9,3,4.079181246
1,1,39,1,16,5,5.079181246
1,1,43,1,17,4,4.602059991
0,1,61,1,15,2,4.397940009
1,1,34,2,11,4,4.447158031
0,0,75,0,8,1,3.397940009
1,1,29,1,16,3,5
0,1,35,2,4,2,4.301029996
0,1,70,1,17,2,5.004321374
1,1,72,1,17,2,5.049218023
1,1,51,1,16,4,4.176091259
0,1,23,0,14,4,4.041392685
1,1,58,0,14,1,4.505149978
0,1,36,1,16,2,4.755874856
0,1,58,1,14,4,5.342422681
1,1,73,1,12,2,4.397940009
0,0,50,0,12,2,4.301029996
1,1,35,2,12,6,4.602059991
0,0,26,0,14,2,4.397940009
1,1,60,1,16,2,4.819543936
1,1,46,2,17,4,5.079181246
1,0,43,0,13,3,4.113943352
0,1,36,2,9,5,4.230448921
0,1,50,1,14,2,4.531478917
1,1,50,1,17,2,5.301029996
1,1,56,0,14,1,4.698970004
0,1,30,2,12,3,4.698970004
0,1,43,1,12,5,4.748188027
1,1,32,1,7,4,4.653212514
0,0,57,0,13,1,3.361727836
0,1,27,0,16,1,4.903089987
1,0,64,0,13,1,4.62324929
1,1,62,0,16,1,5.352182518
1,1,61,1,17,2,5.008600172
1,0,54,0,13,7,4.531478917
0,1,61,1,17,2,6.079181246
1,0,60,0,17,1,4.84509804
0,1,47,1,16,5,4.929418926
1,1,30,1,17,2,5.431363764
1,1,52,1,16,2,5.465382851
0,1,57,1,16,1,4.929418926
0,1,65,0,14,1,4.113943352
1,1,60,1,13,3,4.977723605
1,1,43,1,17,6,6.895974732
1,1,55,1,17,2,5.021189299
1,1,50,1,16,4,4.954242509
0,1,56,0,17,1,4.079181246
1,1,34,1,16,5,4.924279286
1,1,50,1,12,3,4.968482949
1,1,56,1,17,4,5.190331698
0,1,39,1,14,2,5.117271296
0,1,50,1,16,4,4.716003344
0,1,45,1,14,6,4.913813852
0,1,26,1,12,4,4.653212514
0,1,38,1,14,3,4.62324929
0,0,44,0,8,5,3.954242509
1,1,58,1,17,2,5.230448921
1,1,42,1,13,4,4.72427587
1,1,37,1,12,2,5.041392685
1,1,62,1,17,2,5.301029996
0,0,40,0,16,3,4.62324929
0,0,44,0,12,1,4.113943352
1,1,49,1,14,5,5.021189299
1,1,56,0,14,1,4.763427994
1,1,64,1,17,2,5.380211242
0,1,46,1,12,4,5.447158031
0,1,54,1,14,3,4.924279286
1,1,48,1,16,2,4.763427994
1,1,52,1,16,3,4.77815125
1,1,48,2,10,4,4.716003344
0,1,26,1,17,2,4.397940009
1,1,41,1,16,4,4.653212514
0,0,38,0,14,1,4.477121255
0,0,50,0,12,2,4.204119983
1,1,29,1,12,4,4.602059991
0,1,45,1,17,2,4.875061263
0,1,23,0,16,1,3.77815125
0,1,68,1,17,2,5.477121255
0,1,26,1,16,3,4.903089987
1,1,40,1,16,4,4.959041392
0,1,62,1,12,3,4.568201724
1,1,28,1,16,2,4.431363764
0,1,48,1,16,3,4.698970004
1,1,33,1,15,4,5.190331698
0,1,52,1,17,2,5.214843848
0,0,46,0,12,2,3.86923172
0,1,74,1,16,2,6.436162647
1,1,42,1,14,4,5.008600172
0,0,53,2,12,1,2.72427587
1,1,59,1,17,2,4.477121255
1,1,40,1,17,3,5.278753601
0,1,52,1,17,5,6.230448921
0,1,68,0,15,2,5.041392685
1,1,38,1,16,4,4.799340549
1,1,58,1,13,2,4.763427994
0,1,70,1,14,2,5.190331698
0,1,50,1,17,4,5.222716471
1,1,62,2,12,2,4.612783857
1,1,45,1,16,7,5.698970004
0,1,24,0,14,3,4.531478917
0,1,31,0,11,1,3.698970004
1,1,47,1,17,4,4.954242509
1,1,48,0,13,1,4.602059991
0,1,31,0,16,1,4.954242509
1,1,35,0,16,1,4.633468456
0,1,47,1,12,5,4.698970004
0,1,29,1,15,4,4.799340549
1,1,54,1,16,2,4.954242509
1,1,49,1,13,3,4.857332496
0,0,57,0,16,1,7.875061263
0,1,85,1,14,2,5.334453751
0,0,47,0,12,7,4.113943352
1,1,43,1,12,5,4.146128036
0,1,32,1,11,5,4.255272505
0,0,43,0,13,4,4.544068044
1,1,49,1,14,2,4.204119983
0,1,22,0,15,2,3.977723605
1,1,37,1,16,4,4.934498451
1,1,31,1,12,3,4.77815125
1,1,52,1,12,2,4.447158031
1,1,41,1,11,2,4.643452676
1,1,34,0,16,2,4.447158031
1,1,46,1,16,3,5.198657087
0,1,38,1,16,5,5.318063335
1,1,31,1,14,3,4.913813852
0,1,47,1,12,3,4.954242509
1,1,41,1,17,5,5.301029996
1,1,53,1,16,4,5.677606953
1,0,58,0,16,1,4.913813852
1,1,47,1,9,3,4.653212514
